Date,Portfolio value,Daily return,Cumulative return
2025-10-06,100000.0,0.0,0.0
2025-10-07,100261.48,0.2615,0.2615
2025-10-08,99917.84,-0.3427,-0.0822
2025-10-09,100266.92,0.3494,0.2669
2025-10-10,100709.17,0.4411,0.7092
2025-10-13,100451.75,-0.2556,0.4517
2025-10-14,99805.08,-0.6438,-0.1949
2025-10-15,99525.99,-0.2796,-0.474
2025-10-16,99683.33,0.1581,-0.3167
2025-10-17,99935.96,0.2534,-0.064
2025-10-20,100431.07,0.4954,0.4311
2025-10-21,100409.92,-0.0211,0.4099
2025-10-23,100219.5,-0.1896,0.2195
2025-10-24,99576.46,-0.6416,-0.4235
2025-10-27,100141.91,0.5679,0.1419
2025-10-28,100470.01,0.3276,0.47
2025-10-29,100960.26,0.488,0.9603
2025-10-30,100960.26,0.0,0.9603
2025-10-31,100960.26,0.0,0.9603
2025-11-03,100960.26,0.0,0.9603
2025-11-04,100749.37,-0.2089,0.7494
2025-11-06,100823.67,0.0737,0.8237
2025-11-07,100583.76,-0.2379,0.5838
2025-11-10,100214.11,-0.3675,0.2141
2025-11-11,100342.32,0.1279,0.3423
2025-11-12,100581.97,0.2388,0.582
2025-11-13,100384.66,-0.1962,0.3847
2025-11-14,100643.48,0.2578,0.6435
2025-11-17,100697.0,0.0532,0.697
2025-11-18,100574.78,-0.1214,0.5748
2025-11-19,100514.47,-0.06,0.5145
2025-11-20,100634.29,0.1192,0.6343
2025-11-21,100515.27,-0.1183,0.5153
2025-11-24,100345.16,-0.1692,0.3452
2025-11-25,100077.55,-0.2667,0.0776
2025-11-26,100500.05,0.4222,0.5
2025-11-27,100115.93,-0.3822,0.1159
2025-11-28,100153.81,0.0378,0.1538
2025-12-01,100095.47,-0.0582,0.0955
2025-12-02,100074.76,-0.0207,0.0748
2025-12-03,99921.79,-0.1529,-0.0782
2025-12-04,100032.02,0.1103,0.032
2025-12-05,99901.41,-0.1306,-0.0986
2025-12-08,99680.14,-0.2215,-0.3199
2025-12-09,99554.14,-0.1264,-0.4459
2025-12-10,99505.2,-0.0492,-0.4948
2025-12-11,99505.2,0.0,-0.4948
2025-12-12,99505.2,0.0,-0.4948
2025-12-15,99505.2,0.0,-0.4948
2025-12-16,99505.2,0.0,-0.4948
2025-12-17,99505.2,0.0,-0.4948
2025-12-18,99505.2,0.0,-0.4948
2025-12-19,99505.2,0.0,-0.4948
2025-12-22,99505.2,0.0,-0.4948
2025-12-23,99505.2,0.0,-0.4948
2025-12-24,99505.2,0.0,-0.4948
2025-12-26,99505.2,0.0,-0.4948
2025-12-29,99505.2,0.0,-0.4948
2025-12-30,99505.2,0.0,-0.4948
2025-12-31,99505.2,0.0,-0.4948
